State,Year,emission_value_mlns,energy_value
LA,2015,2.388012083249556,150562
LA,2016,2.4316460453775806,167422
LA,2017,2.552075501954567,154436
LA,2018,2.6062026902280664,150850
LA,2019,2.249133563486993,139777
LA,2020,2.1816484414412023,135467
LA,2021,2.154843922871698,135905
LA,2022,2.4207461513855586,138209
LA,2023,2.3846173028669475,138982
MA,2002,2.009066868367733,40887
MA,2003,1.9267026964160523,43196
MA,2004,1.7615047896485496,45190
MA,2005,1.6861885506593357,40132
MA,2006,1.5069690679100827,52537
MA,2007,1.3894749954797005,54678
MA,2008,1.2985927118460514,53252
MA,2009,1.2222918609035311,61521
MA,2010,1.2036425757853657,68744
MA,2011,1.128325615860787,69776
MA,2012,1.0640451095489156,66453
MA,2013,1.0683531362048062,72745
MA,2014,1.0252626515555274,74511
MA,2015,0.9889842677585736,74529
MA,2016,0.9080712308825979,76016
MA,2017,0.9095690411891999,73642
MA,2018,0.906165403566001,75874
MA,2019,0.886194023924495,75035
MA,2020,0.7857467019706582,71436
MA,2021,0.8164833376587912,75371
MA,2022,0.8056470938246421,80701
MA,2023,0.7976066637386132,81560
MD,2002,2.6891324579660365,29912
MD,2003,2.594490401150064,36406
MD,2004,2.3983027047745646,36931
MD,2005,2.3124247419285737,37447
MD,2006,2.0786959862946204,46032
MD,2007,1.9475144555268522,47862
MD,2008,1.7700074374776429,47797
MD,2009,1.603822242469012,55016
MD,2010,1.3427612190660476,61544
MD,2011,1.2845415570895773,63327
MD,2012,1.2055566071404569,59562
MD,2013,1.1778097849247902,65480
MD,2014,1.1443164868361233,64310
MD,2015,1.0846283172998916,58891
MD,2016,0.9518132128107367,59012
MD,2017,0.9242749852933265,60689
MD,2018,0.9118889701804275,64791
MD,2019,0.8936921870212073,57955
MD,2020,0.8275137839367978,48564
MD,2021,0.858220643854398,52733
MD,2022,0.823127150833574,51256
MD,2023,0.8072484609271453,53711
ME,2002,0.9275446300081042,121681
ME,2003,0.9098478690940284,111053
ME,2004,0.8414549775951076,114131
ME,2005,0.8105808310310121,133157
ME,2006,0.7587572262113575,125205
ME,2007,0.6968137881008593,131782
ME,2008,0.6766427122944252,157289
ME,2009,0.6486586776373268,124976
ME,2010,0.626040725699177,136656
ME,2011,0.6060092199961665,137486
ME,2012,0.5792099545392503,134695
ME,2013,0.5834302492059061,140105
ME,2014,0.5624365530471249,135221
ME,2015,0.5354389203956268,140476
ME,2016,0.5009667860024886,121928
ME,2017,0.4884251014246026,121133
ME,2018,0.4904949826710231,122829
ME,2019,0.475474162637057,120890
ME,2020,0.5195459589473691,98142
ME,2021,0.5072222342180182,95142
ME,2022,0.500264233531089,93866
ME,2023,0.49428520610439397,89444
MI,2002,5.559520608212864,88201
MI,2003,5.37306925263947,103305
MI,2004,5.043011897687638,107955
MI,2005,4.849904066480005,121208
MI,2006,4.437373133444398,119949
MI,2007,4.143551287749548,132229
MI,2008,3.760462951634828,148531
MI,2009,3.5629176175543185,138933
MI,2010,3.3689740429108026,149826
MI,2011,3.158601802592996,164573
MI,2012,3.3788686066222553,164812
MI,2013,2.832805340616182,182542
MI,2014,2.723465389063754,187538
MI,2015,2.606045118736766,201649
MI,2016,2.379484274024221,197316
MI,2017,2.306558656886783,197415
MI,2018,2.3381590341800886,205712
MI,2019,2.238511597511611,201964
MI,2020,2.1216857008509944,183359
MI,2021,2.1732890421208277,194075
MI,2022,2.1169675836023036,206811
MI,2023,2.079304355241549,198458
MN,2002,5.278878796099639,92438
MN,2003,7.49789732039477,95537
MN,2004,4.977520750316156,104621
MN,2005,4.456783521082449,108275
MN,2006,4.301017609063139,112721
MN,2007,5.498975104836305,131927
MN,2008,3.9319920329240747,146849
MN,2009,3.768165221516323,166637
MN,2010,3.8078743497557808,189237
MN,2011,3.8243105378811935,194486
MN,2012,3.828629807890951,193187
MN,2013,3.238702040814955,191780
MN,2014,3.2680511825577647,211351
MN,2015,3.0619443078624617,215507
MN,2016,2.7082393723578946,217541
MN,2017,3.0517839884435425,217589
MN,2018,3.518392140349003,223380
MN,2019,2.748515747835985,224856
MN,2020,2.22125344034843,206259
MN,2021,2.933695424145064,216113
MN,2022,2.6624926756972607,229768
MN,2023,2.655055167497157,223864
MO,2002,5.236313495182686,28676
MO,2003,5.308488800715449,30291
MO,2004,5.170900157545594,34335
MO,2005,5.447479610338764,46957
MO,2006,5.022007570038168,42120
MO,2007,4.855458377668523,54207
MO,2008,4.394354965965775,69587
MO,2009,4.3287237026476,77207
MO,2010,4.258222903629872,84990
MO,2011,4.086663092806475,81011
MO,2012,4.244908626512285,72317
MO,2013,3.6826211406567775,83152
MO,2014,3.7037662092587076,86677
MO,2015,3.4070823074497407,79087
MO,2016,3.884612337113442,79160
MO,2017,4.148001055003726,82699
MO,2018,4.0723858079763975,87912
MO,2019,3.389130288992079,91829
MO,2020,3.519617761315184,77057
MO,2021,3.4871674926122362,88878
MO,2022,3.352378445027356,95311
MO,2023,3.3158736601005376,90412
MS,2002,2.4709001797418164,49672
MS,2003,2.546534133145915,45371
MS,2004,2.624908422248024,61302
MS,2005,2.6572124640574706,62966
MS,2006,2.5364700103350253,63673
MS,2007,2.586458309976515,64626
MS,2008,2.3186103081164178,50484
MS,2009,2.034514440885566,56884
MS,2010,2.1540806796216088,74800
MS,2011,2.0309517222511,75706
MS,2012,1.8546053956849884,88312
MS,2013,1.9343739087231087,76269
MS,2014,1.9390645053919104,77939
MS,2015,1.7248324478145758,73695
MS,2016,1.6758934878833405,76228
MS,2017,1.7159781544005686,70824
MS,2018,1.705482308130287,70843
MS,2019,1.5154468706816977,66985
MS,2020,1.527586072020855,65069
MS,2021,1.445016701021666,66133
MS,2022,1.554479695409408,66614
MS,2023,1.538019582049662,67304
MT,2002,1.737394755615902,44049
MT,2003,5.5694391651254405,42039
MT,2004,1.491273835394183,43154
MT,2005,1.6951824203905028,51744
MT,2006,2.5541603961091424,54574
MT,2007,3.203734693367323,55767
MT,2008,1.4655307478480748,57183
MT,2009,1.2671759096068387,50888
MT,2010,1.1596855551716532,51579
MT,2011,1.3543217691429115,56107
MT,2012,1.7132488873018663,51203
MT,2013,1.2145722683738525,48259
MT,2014,1.1745879196914857,55609
MT,2015,2.4969442442235916,59324
MT,2016,1.4381470818272857,61412
MT,2017,4.932232928599143,64574
MT,2018,1.6179054829469262,69952
MT,2019,1.2191156796239988,65467
MT,2020,1.6034732218633327,59812
MT,2021,3.909437193896132,56335
MT,2022,1.5802122576404458,60644
MT,2023,1.6685287383530265,58469
NC,2002,5.318566665247229,107220
NC,2003,5.081132674395839,140545
NC,2004,5.04815923804532,111793
NC,2005,4.875906206691137,112140
NC,2006,4.520283653855251,115472
NC,2007,4.218245035005762,98912
NC,2008,3.914565280336461,148315
NC,2009,3.4105831567205938,147738
NC,2010,3.2636005232951413,160129
NC,2011,3.218333528210308,165809
